stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
AMB_201371,201371,Can Nicolau de Dalt - Benzinera,Pal,41.5013462,1.9678453,,https://app.ambmobilitat.cat/stops/busamb:201371,0,,,0.0
AMB_201406,201406,Estació Rodalies,Marquesina,41.5135811,2.1179987,,https://app.ambmobilitat.cat/stops/busamb:201406,0,,,0.0
AMB_201407,201407,Urgell - Ronda de Catalunya,Marquesina,41.511155,2.1225088,,https://app.ambmobilitat.cat/stops/busamb:201407,0,,,0.0
AMB_201408,201408,Ronda de l'Est - Doctor Moragas,Marquesina,41.5133544,2.125286,,https://app.ambmobilitat.cat/stops/busamb:201408,0,,,0.0
AMB_201409,201409,Ronda de l'Est - Doctor Moragas,Marquesina,41.5135011,2.12516,,https://app.ambmobilitat.cat/stops/busamb:201409,0,,,0.0
AMB_201410,201410,Ajuntament,Marquesina,41.5162611,2.1240448,,https://app.ambmobilitat.cat/stops/busamb:201410,0,,,0.0
AMB_201411,201411,Ajuntament,Marquesina,41.5159243,2.1240624,,https://app.ambmobilitat.cat/stops/busamb:201411,0,,,0.0
AMB_201412,201412,Centre Cívic Ca n'Amiguet,Marquesina,41.5246747,2.1241843,,https://app.ambmobilitat.cat/stops/busamb:201412,0,,,0.0
AMB_201413,201413,Ctra. Barcelona - Marie Curie,Marquesina,41.5120419,2.1298203,,https://app.ambmobilitat.cat/stops/busamb:201413,0,,,0.0
AMB_201414,201414,Ctra. Barcelona - Girona,Marquesina,41.5112897,2.1301945,,https://app.ambmobilitat.cat/stops/busamb:201414,0,,,0.0
AMB_201415,201415,Ctra. Barcelona - Sant Pere,Marquesina,41.516612,2.1265233,,https://app.ambmobilitat.cat/stops/busamb:201415,0,,,0.0
AMB_201416,201416,Ctra. Barcelona - Escultor Llimona,Marquesina,41.5170013,2.1260329,,https://app.ambmobilitat.cat/stops/busamb:201416,0,,,0.0
AMB_201417,201417,Ctra. Barcelona - Marquesos de Barberà,Marquesina,41.5202318,2.1244843,,https://app.ambmobilitat.cat/stops/busamb:201417,0,,,0.0
AMB_201418,201418,Ctra. Barcelona - Juan de la Cierva,Marquesina,41.5220991,2.1238704,,https://app.ambmobilitat.cat/stops/busamb:201418,0,,,0.0
AMB_201419,201419,Ctra. Barcelona - Ausiàs Marc,Marquesina,41.5246074,2.1215043,,https://app.ambmobilitat.cat/stops/busamb:201419,0,,,0.0
AMB_201420,201420,Ctra. Barcelona - Nàpols,Marquesina,41.5240356,2.1217919,,https://app.ambmobilitat.cat/stops/busamb:201420,0,,,0.0
AMB_201421,201421,Marquesos de Barberà - Pl. Constitució,Marquesina,41.5204722,2.1218331,,https://app.ambmobilitat.cat/stops/busamb:201421,0,,,0.0
AMB_201422,201422,Marquesos de Barberà - Pl. Constitució,Marquesina,41.5205531,2.121684,,https://app.ambmobilitat.cat/stops/busamb:201422,0,,,0.0
AMB_201423,201423,Ronda Santa Maria - Ronda Indústria,Marquesina,41.5163062,2.1323226,,https://app.ambmobilitat.cat/stops/busamb:201423,0,,,0.0
