route_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,service_id
AMB_502,AMB_502.2.2.1.2,Nucli urbà,Recorregut habitual,1,,AMB_502.2.1.2,0,1,AMB_502.1603.2
AMB_502,AMB_502.2.2.1.3,Nucli urbà,Recorregut habitual,1,,AMB_502.2.1.2,0,1,AMB_502.1603.2
AMB_502,AMB_502.2.2.1.4,Nucli urbà,Recorregut habitual,1,,AMB_502.2.1.2,0,1,AMB_502.1603.2
AMB_502,AMB_502.2.2.1.5,Nucli urbà,Recorregut habitual,1,,AMB_502.2.1.2,0,1,AMB_502.1603.2
AMB_502,AMB_502.2.2.1.6,Nucli urbà,Recorregut habitual,1,,AMB_502.2.1.2,0,1,AMB_502.1603.2
AMB_502,AMB_502.2.2.1.7,Nucli urbà,Recorregut habitual,1,,AMB_502.2.1.2,0,1,AMB_502.1603.2
AMB_502,AMB_502.2.2.1.8,Nucli urbà,Recorregut habitual,1,,AMB_502.2.1.2,0,1,AMB_502.1603.2
AMB_502,AMB_502.2.2.1.9,Nucli urbà,Recorregut habitual,1,,AMB_502.2.1.2,0,1,AMB_502.1603.2
AMB_502,AMB_502.2.2.2.0,Nucli urbà,Recorregut habitual,1,,AMB_502.2.2.2,0,1,AMB_502.1654.2
AMB_502,AMB_502.2.2.2.1,Nucli urbà,Recorregut habitual,1,,AMB_502.2.2.2,0,1,AMB_502.1654.2
AMB_502,AMB_502.2.2.2.2,Nucli urbà,Recorregut habitual,1,,AMB_502.2.2.2,0,1,AMB_502.1654.2
AMB_502,AMB_502.2.2.2.3,Nucli urbà,Recorregut habitual,1,,AMB_502.2.2.2,0,1,AMB_502.1654.2
AMB_502,AMB_502.2.2.2.4,Nucli urbà,Recorregut habitual,1,,AMB_502.2.2.2,0,1,AMB_502.1654.2
AMB_502,AMB_502.2.2.2.5,Nucli urbà,Recorregut habitual,1,,AMB_502.2.2.2,0,1,AMB_502.1654.2
AMB_502,AMB_502.3.1.1.0,Can Santeugini,Reforç escolar,0,,AMB_502.1.1.3,0,1,AMB_502.2170.3
AMB_502,AMB_502.3.2.1.0,Nucli urbà,Reforç escolar,1,,AMB_502.2.1.3,0,1,AMB_502.2170.3
BGE_753,BGE_07530010650,,,0,,BGE_0753001,0,0,BGE_07530010650
BGE_753,BGE_07530010705,,,0,,BGE_0753001,0,0,BGE_07530010705
BGE_753,BGE_07530010720,,,0,,BGE_0753001,0,0,BGE_07530010720
BGE_753,BGE_07530010735,,,0,,BGE_0753001,0,0,BGE_07530010735
BGE_753,BGE_07530011300,,,0,,BGE_0753001,0,0,BGE_07530011300
BGE_753,BGE_07530011330,,,0,,BGE_0753001,0,0,BGE_07530011330
BGE_753,BGE_07530011400,,,0,,BGE_0753001,0,0,BGE_07530011400
BGE_753,BGE_07530020800,,,0,,BGE_0753002,0,0,BGE_07530020800
BGE_753,BGE_07530020815,,,0,,BGE_0753002,0,0,BGE_07530020815
BGE_753,BGE_07530020830,,,0,,BGE_0753002,0,0,BGE_07530020830
BGE_753,BGE_07530021130,,,0,,BGE_0753002,0,0,BGE_07530021130
BGE_753,BGE_07530021200,,,0,,BGE_0753002,0,0,BGE_07530021200
