service_id,date,exception_type
FGC_624ddab200707612a612,20251231,1
FGC_624ddab200707612a612,20251030,1
FGC_624ddab200707612a612,20251230,1
FGC_624ddab200707612a612,20251029,1
FGC_624ddab200707612a612,20251229,1
FGC_624ddab200707612a612,20251028,1
FGC_624ddab200707612a612,20251027,1
FGC_624ddab200707612a612,20251127,1
FGC_624ddab200707612a612,20251126,1
FGC_624ddab200707612a612,20251125,1
FGC_624ddab200707612a612,20251124,1
FGC_624ddab200707612a612,20251224,1
FGC_624ddab200707612a612,20251023,1
FGC_624ddab200707612a612,20251223,1
FGC_624ddab200707612a612,20251022,1
FGC_624ddab200707612a612,20251222,1
FGC_624ddab200707612a612,20251021,1
FGC_624ddab200707612a612,20251020,1
FGC_624ddab200707612a612,20251120,1
FGC_624ddab200707612a612,20251119,1
FGC_624ddab200707612a612,20251118,1
FGC_624ddab200707612a612,20251218,1
FGC_624ddab200707612a612,20251117,1
FGC_624ddab200707612a612,20251217,1
FGC_624ddab200707612a612,20251016,1
FGC_624ddab200707612a612,20251216,1
FGC_624ddab200707612a612,20251015,1
FGC_624ddab200707612a612,20251215,1
FGC_624ddab200707612a612,20251014,1
FGC_624ddab200707612a612,20251113,1
FGC_624ddab200707612a612,20251112,1
FGC_624ddab200707612a612,20251111,1
FGC_624ddab200707612a612,20251211,1
FGC_624ddab200707612a612,20251110,1
FGC_624ddab200707612a612,20251210,1
FGC_624ddab200707612a612,20251209,1
FGC_624ddab200707612a612,20251106,1
FGC_624ddab200707612a612,20251105,1
FGC_624ddab200707612a612,20251104,1
FGC_624ddab200707612a612,20251204,1
FGC_624ddab200707612a612,20251103,1
FGC_624ddab200707612a612,20251203,1
FGC_624ddab200707612a612,20251202,1
FGC_624ddab200707612a612,20251201,1
FGC_624ddab200707613a612,20251031,1
FGC_624ddab200707613a612,20251114,1
FGC_624ddab200707613a612,20251128,1
FGC_624ddab200707613a612,20251212,1
FGC_624ddab200707613a612,20251024,1
FGC_624ddab200707613a612,20251107,1
FGC_624ddab200707613a612,20251121,1
FGC_624ddab200707613a612,20251205,1
FGC_624ddab200707613a612,20251219,1
FGC_624ddab200707613a612,20251017,1
FGC_624ddab200707616a612,20251115,1
FGC_624ddab200707616a612,20251129,1
FGC_624ddab200707616a612,20251213,1
FGC_624ddab200707616a612,20251227,1
FGC_624ddab200707616a612,20251025,1
FGC_624ddab200707616a612,20251108,1
FGC_624ddab200707616a612,20251122,1
FGC_624ddab200707616a612,20251220,1
FGC_624ddab200707616a612,20251018,1
FGC_624ddab200707617a612,20251130,1
FGC_624ddab200707617a612,20251228,1
FGC_624ddab200707617a612,20251026,1
FGC_624ddab200707617a612,20251226,1
FGC_624ddab200707617a612,20251225,1
FGC_624ddab200707617a612,20251123,1
FGC_624ddab200707617a612,20251221,1
FGC_624ddab200707617a612,20251019,1
FGC_624ddab200707617a612,20251116,1
FGC_624ddab200707617a612,20251214,1
FGC_624ddab200707617a612,20251109,1
FGC_624ddab200707617a612,20251208,1
FGC_624ddab200707617a612,20251207,1
FGC_624ddab200707617a612,20251206,1
FGC_624ddab200707617a612,20251102,1
FGC_624ddab200707617a612,20251101,1
FGC_625cdae202743e,20251231,1
FGC_625cdae202743e,20251114,1
FGC_625cdae202743e,20251128,1
FGC_625cdae202743e,20251212,1
FGC_625cdae202743e,20251024,1
FGC_625cdae202743e,20251224,1
FGC_625cdae202743e,20251107,1
FGC_625cdae202743e,20251121,1
FGC_625cdae202743e,20251205,1
FGC_625cdae202743e,20251219,1
FGC_625cdae21f716a12ba52,20251031,1
FGC_625cdae21f716a12ba52,20251017,1
FGC_625cdae302743e,20251230,1
FGC_625cdae302743e,20251029,1
FGC_625cdae302743e,20251229,1
FGC_625cdae302743e,20251028,1
FGC_625cdae302743e,20251027,1
FGC_625cdae302743e,20251127,1
FGC_625cdae302743e,20251126,1
FGC_625cdae302743e,20251125,1
FGC_625cdae302743e,20251124,1
FGC_625cdae302743e,20251023,1
FGC_625cdae302743e,20251223,1
FGC_625cdae302743e,20251022,1
FGC_625cdae302743e,20251222,1
FGC_625cdae302743e,20251020,1
FGC_625cdae302743e,20251120,1
FGC_625cdae302743e,20251119,1
FGC_625cdae302743e,20251118,1
FGC_625cdae302743e,20251218,1
FGC_625cdae302743e,20251117,1
FGC_625cdae302743e,20251217,1
FGC_625cdae302743e,20251216,1
